1,1193,5 
1,661,3 
1,914,3 
1,3408,4 
1,2355,5 
1,1197,3 
1,1287,5 
1,2804,5
1,594,4
1,919,4
1,595,5
1,938,4
1,2398,4
1,2918,4
1,1035,5 
1,2791,4
2,3068,4
2,1537,4
2,647,3 
2,2194,4
2,648,4 
2,2268,5
2,2628,3
2,1103,3
2,2916,3
2,3468,5
2,1210,4
2,1792,3
2,1687,3
2,1213,2
2,3578,5
2,2881,3
3,1641,2
3,648,3
3,1394,4
3,3534,3
3,104,4
3,2735,4
3,1210,4
3,1431,3
3,3868,3
3,1079,5
3,2997,3
3,1615,5 
3,1291,4
3,1259,5
3,653,4
3,2167,5
4,1210,3 
4,2951,4
4,1214,4
4,1036,4
4,260,5
4,2028,5
4,480,4
4,1196,2
4,1198,5
4,1954,5
4,1097,4
4,3418,4
4,3702,4
4,2366,4
4,1387,5
4,3527,1
5,2333,4
5,1175,5
5,39,3
5,288,2
5,2337,5
5,1535,4
5,1392,4
5,2268,2
5,1466,3
5,860,2
5,1683,3
5,866,4
5,1684,3
5,2916,1
5,2770,4
5,215,3
6,1101,4
6,3717,4
6,1030,4
6,1688,5
6,1035,5
6,3578,4
6,364,4
6,3501,5
6,3072,4
6,368,4
6,296,2
6,48,5
6,3074,5
6,1188,4
6,3508,3
6,588,4
7,861,4
7,2916,5
7,3578,3
7,3793,3
7,1610,5
7,589,5
7,6,4
7,442,4
7,733,5
7,377,3
7,2353,5
7,1196,5
7,2571,5
7,380,5
7,1997,5
7,1270,4
8,2336,3
8,288,5
8,3425,3
8,2268,3
8,1466,4
8,1393,5
8,1682,4
8,2916,5
8,506,3
8,508,3
8,3213,3
8,42,3
8,650,5
8,3500,3
8,296,5
8,3147,5
9,1466,4
9,1393,3
9,861,2
9,1682,4
9,3717,3
9,508,3
9,3793,4
9,720,4
9,367,3
9,47,5
9,3147,4
9,3148,3
9,1617,4
9,2278,4
9,223,4
9,150,3
10,648,4
10,2628,3
10,3358,5
10,3359,3
10,1682,5
10,1756,4
10,1320,3
10,2124,3
10,2125,5
10,1250,3
10,2054,4
10,1252,3
10,1253,5
10,720,5
10,3868,3
10,1254,3
11,1682,1
11,216,4
11,2997,4
11,1259,3
11,1188,4
11,2706,2
11,586,1
11,587,3
11,2639,2
11,2136,1
11,1265,3
11,2710,3
11,663,4
11,590,3
11,1197,5
11,2712,1
12,3362,3
12,1193,4
12,1198,5
12,593,5
12,813,3
12,3897,4
12,2804,5
12,919,5
12,923,5
12,858,5
12,934,2
12,3658,4
12,1641,3
12,111,5
12,1221,5
12,3265,4
13,648,3
13,2628,3
13,2054,3
13,1259,4
13,589,5
13,1690,3
13,2,3
13,153,3
13,1331,4
13,2135,3
13,1262,4
13,1196,5
13,590,4
13,1197,4
13,736,4
13,1198,5
14,2997,5
14,1263,5
14,2572,1
14,2731,4
14,3033,4
14,2243,3
14,3623,3
14,2826,2
14,2686,5
